"v1","v2","v3","v4","v5","v7_1","v7_2","v7_3","v7_4","v7_5","v7_6","v7_7","v7_8","v8","v9_1","v9_2","v10_1","v10_2","v10_3","v10_4","v10_5","v10_6","v10_7","v10_8","v10_9","v10_10","v10_11","v10_12","v11","v12","v13","v14","v15","v16","v17","v18","v19","v20","v21","v22_1","v22_2","v22_3","v22_4","v22_5","v22_6","v23","v24","v25","v28","v29","v31","v32","v33","v35","v36","v37","v38","v9_3"
6,1,1,1,1,1,0,0,0,0,0,0,0,499,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,4,0,10,10,1,1,1,60
6,1,2,1,1,0,1,1,0,1,0,0,0,560,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,4,0,1,4,0,7,7,1,1,3,60
7,1,1,1,1,1,0,0,0,0,0,0,0,650,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,3,0,21,21,1,1,2,60
8,1,1,1,1,1,0,0,0,0,0,0,0,699,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,9,9,1,2,1,60
8,1,1,1,1,1,0,1,0,0,0,0,0,1000,1,10,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,6,0,9,9,1,1,1,70
6,2,1,1,1,1,0,0,0,0,0,0,0,1400,1,30,1,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,1,0,4,0,16,16,1,2,1,90
6,1,1,1,1,1,0,1,0,0,0,0,0,420,1,30,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,4,0,2,2,1,2,2,90
8,2,1,1,1,1,0,0,0,0,0,0,0,499,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,1,1,1,2,8,120
7,1,1,1,1,1,0,1,0,0,0,0,0,502,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,2,1,1,6,0,16,16,1,1,3,120
6,2,1,1,1,1,0,1,0,0,0,0,0,NA,2,30,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,NA,1,1,4,0,15,15,1,1,2,150
